name,kind,mesh,x,y,z,roll,pitch,yaw
container,container,container.glb,0.0,0.0,0.0,0.0,0.0,0.0
item_0000,item,item_0000.glb,0.130677108,0.364768565,0.101968509,0.0,0.0,0.0
item_0001,item,item_0001.glb,-0.356377542,0.011503257,0.101970606,0.0,0.0,0.0
item_0002,item,item_0002.glb,0.025480226,0.133135170,0.101973850,0.0,0.0,0.0
item_0003,item,item_0003.glb,0.394357800,-0.310624838,0.101978952,0.0,0.0,0.0
item_0004,item,item_0004.glb,-0.367208779,0.381254762,0.101982728,0.0,0.0,0.0
item_0005,item,item_0005.glb,0.390499234,0.205956191,0.101987773,0.0,0.0,0.0
item_0006,item,item_0006.glb,-0.133704774,-0.090190664,0.101988263,0.0,0.0,0.0
item_0007,item,item_0007.glb,0.377854764,-0.027283758,0.101994965,0.0,0.0,0.0
item_0008,item,item_0008.glb,-0.096605174,-0.392714441,0.101997688,0.0,0.0,0.0
item_0009,item,item_0009.glb,-0.309272327,-0.357912384,0.101998528,0.0,0.0,0.0
item_0010,item,item_0010.glb,0.112511512,-0.148945436,0.102008101,0.0,0.0,0.0
item_0011,item,item_0011.glb,0.192411959,-0.395506233,0.102012812,0.0,0.0,0.0
item_0012,item,item_0012.glb,-0.117343914,0.356858589,0.196692394,0.0,0.0,0.0
item_0013,item,item_0013.glb,0.236772001,-0.032125745,0.301607020,0.0,0.0,0.0
item_0014,item,item_0014.glb,-0.398022294,-0.160818323,0.301888473,0.0,0.0,0.0
item_0015,item,item_0015.glb,-0.180258546,0.116457001,0.303924225,0.0,0.0,0.0
item_0016,item,item_0016.glb,-0.397889495,0.378324464,0.303924672,0.0,0.0,0.0
item_0017,item,item_0017.glb,-0.397926003,0.105143425,0.303927340,0.0,0.0,0.0
item_0018,item,item_0018.glb,0.358064860,0.224367727,0.303931184,0.0,0.0,0.0
item_0019,item,item_0019.glb,0.186005495,0.398008764,0.303931229,0.0,0.0,0.0
item_0020,item,item_0020.glb,0.397921771,-0.391976640,0.303952649,0.0,0.0,0.0
item_0021,item,item_0021.glb,0.149005130,0.160152425,0.303963155,0.0,0.0,0.0
item_0022,item,item_0022.glb,-0.196038347,-0.190345634,0.303966999,0.0,0.0,0.0
item_0023,item,item_0023.glb,-0.195879310,-0.397596851,0.303985424,0.0,0.0,0.0
item_0024,item,item_0024.glb,-0.397865832,-0.397696242,0.304008521,0.0,0.0,0.0
item_0025,item,item_0025.glb,0.053355411,-0.277077444,0.317040659,0.0,0.0,0.0
item_0026,item,item_0026.glb,-0.034726918,0.393177882,0.406777292,0.0,0.0,0.0
item_0027,item,item_0027.glb,0.003920421,-0.085239002,0.430656582,0.0,0.0,0.0
item_0028,item,item_0028.glb,0.217454232,-0.398038670,0.469201669,0.0,0.0,0.0
item_0029,item,item_0029.glb,0.200290464,-0.184139464,0.487787455,0.0,0.0,0.0
item_0030,item,item_0030.glb,-0.057687227,-0.381118357,0.505472437,0.0,0.0,0.0
item_0031,item,item_0031.glb,0.397252351,0.376237229,0.505729660,0.0,0.0,0.0
item_0032,item,item_0032.glb,0.397848487,0.125432512,0.505873322,0.0,0.0,0.0
item_0033,item,item_0033.glb,-0.325477183,0.245258339,0.505886555,0.0,0.0,0.0
item_0034,item,item_0034.glb,-0.049806673,0.182443071,0.505905807,0.0,0.0,0.0
item_0035,item,item_0035.glb,-0.363438904,0.046538845,0.505927548,0.0,0.0,0.0
item_0036,item,item_0036.glb,-0.389792502,-0.162303245,0.508325756,0.0,0.0,0.0
item_0037,item,item_0037.glb,0.131795213,0.397265702,0.544395655,0.0,0.0,0.0
item_0038,item,item_0038.glb,-0.285167776,-0.382986188,0.557396099,0.0,0.0,0.0
item_0039,item,item_0039.glb,-0.159733593,-0.113842973,0.579406857,0.0,0.0,0.0
item_0040,item,item_0040.glb,0.364922941,-0.177460928,0.612334013,0.0,0.0,0.0
item_0041,item,item_0041.glb,0.182448119,0.195403032,0.627337396,0.0,0.0,0.0
item_0042,item,item_0042.glb,0.097692847,-0.383269906,0.659932494,0.0,0.0,0.0
item_0043,item,item_0043.glb,-0.126183808,0.391459852,0.661199331,0.0,0.0,0.0
item_0044,item,item_0044.glb,-0.396067858,0.385734409,0.704877853,0.0,0.0,0.0
item_0045,item,item_0045.glb,-0.397929937,0.170432974,0.707936943,0.0,0.0,0.0
item_0046,item,item_0046.glb,-0.397382528,-0.035350643,0.712317407,0.0,0.0,0.0
item_0047,item,item_0047.glb,-0.046706710,0.070243374,0.734331191,0.0,0.0,0.0
item_0048,item,item_0048.glb,0.144505799,-0.047474626,0.737450063,0.0,0.0,0.0
item_0049,item,item_0049.glb,0.357228987,0.378406376,0.747700751,0.0,0.0,0.0
item_0050,item,item_0050.glb,0.356572241,0.155128725,0.762511253,0.0,0.0,0.0
item_0051,item,item_0051.glb,0.291493155,-0.355037607,0.766154349,0.0,0.0,0.0
item_0052,item,item_0052.glb,-0.056035720,-0.226446003,0.773073375,0.0,0.0,0.0
item_0053,item,item_0053.glb,0.059373789,0.259963688,0.794630945,0.0,0.0,0.0
item_0054,item,item_0054.glb,-0.397852689,-0.379958510,0.803950131,0.0,0.0,0.0
item_0055,item,item_0055.glb,-0.203106798,0.206378561,0.881886423,0.0,0.0,0.0
item_0056,item,item_0056.glb,0.160301864,0.104580896,0.916684270,0.0,0.0,0.0
item_0057,item,item_0057.glb,-0.360447161,0.362549715,0.990727961,0.0,0.0,0.0
item_0058,item,item_0058.glb,0.060160920,0.378678739,1.001673847,0.0,0.0,0.0
