idx,body,before_x,before_y,before_z,after_x,after_y,after_z,dxy_m,dxyz_m,ejected,is_target
0,item_0000,0.0227,0.3112,0.8255,0.0227,0.3112,0.8255,0.0000,0.0000,0,0
1,item_0001,-0.0991,0.2229,0.8255,-0.1057,0.2159,0.8238,0.0096,0.0098,0,0
2,item_0002,-0.0036,0.2533,0.8255,-0.0035,0.2531,0.8235,0.0003,0.0020,0,0
3,item_0003,0.0886,0.1423,0.8255,0.0886,0.1423,0.8255,0.0000,0.0000,0,0
4,item_0004,-0.1018,0.3153,0.8255,-0.1018,0.3153,0.8255,0.0000,0.0000,0,0
5,item_0005,0.0876,0.2715,0.8255,0.0876,0.2715,0.8255,0.0000,0.0000,0,0
6,item_0006,-0.0434,0.1975,0.8255,-0.0408,0.1981,0.8233,0.0027,0.0035,0,0
7,item_0007,0.0845,0.2132,0.8255,0.0845,0.2132,0.8255,0.0000,0.0000,0,0
8,item_0008,-0.0342,0.1218,0.8255,-0.0308,0.1229,0.8232,0.0036,0.0042,0,0
9,item_0009,-0.0873,0.1305,0.8255,-0.0873,0.1305,0.8255,0.0000,0.0000,0,1
10,item_0010,0.0181,0.1828,0.8255,0.0182,0.1845,0.8235,0.0018,0.0027,0,0
11,item_0011,0.0381,0.1211,0.8255,0.0376,0.1198,0.8234,0.0014,0.0026,0,0
12,item_0012,-0.0393,0.3092,0.8492,-0.0393,0.3092,0.8492,0.0000,0.0000,0,0
13,item_0013,0.0492,0.2120,0.8754,0.0492,0.2120,0.8754,0.0000,0.0000,0,0
14,item_0014,-0.1095,0.1798,0.8755,-0.1088,0.1419,0.8810,0.0379,0.0383,0,0
15,item_0015,-0.0551,0.2491,0.8760,-0.0591,0.2609,0.8243,0.0125,0.0532,0,0
16,item_0016,-0.1095,0.3146,0.8760,-0.1095,0.3146,0.8760,0.0000,0.0000,0,0
