idx,body,source_body_id,quality,pred_world_x,pred_world_y,pred_world_z,pred_angle_rad,pred_width_px,world_quat_w,world_quat_x,world_quat_y,world_quat_z,chosen,rl_action,chosen_dx,chosen_dy,chosen_dyaw
0,item_0012,35,0.4848,-0.0393,0.2802,0.8492,0.0000,28.00,0.0000,0.7071,0.7071,0.0000,0,-1,,,
1,item_0006,38,0.4727,-0.0551,0.2201,0.8760,0.0000,28.00,0.0000,0.7071,0.7071,0.0000,1,43,+0.0000,+0.0150,+0.0000
2,item_0000,23,0.4440,0.0227,0.2822,0.8255,0.0000,28.00,0.0000,0.7071,0.7071,0.0000,0,-1,,,
3,item_0005,28,0.4333,0.0876,0.2425,0.8255,-1.5708,28.00,0.0000,1.0000,0.0000,0.0000,0,-1,,,
4,item_0014,37,0.4256,-0.1095,0.1508,0.8755,-1.5708,28.00,0.0000,1.0000,0.0000,0.0000,0,-1,,,
5,item_0011,34,0.4091,0.0381,0.0921,0.8255,0.0000,28.00,0.0000,0.7071,0.7071,0.0000,0,-1,,,
6,item_0003,26,0.4091,0.0886,0.1133,0.8255,-1.5708,28.00,0.0000,1.0000,0.0000,0.0000,0,-1,,,
7,item_0009,32,0.4031,-0.0873,0.1015,0.8255,-1.5708,28.00,0.0000,1.0000,0.0000,0.0000,0,-1,,,
8,item_0008,31,0.4031,-0.0342,0.0928,0.8255,0.0000,28.00,0.0000,0.7071,0.7071,0.0000,0,-1,,,
9,item_0006,29,0.3970,-0.0434,0.1685,0.8255,0.0000,28.00,0.0000,0.7071,0.7071,0.0000,0,-1,,,
