idx,body,before_x,before_y,before_z,after_x,after_y,after_z,dxy_m,dxyz_m,ejected,is_target
0,item_0000,0.0227,0.3112,0.8255,0.0225,0.3117,0.8232,0.0006,0.0024,0,0
1,item_0001,-0.0991,0.2229,0.8255,-0.0970,0.2195,0.8255,0.0040,0.0040,0,0
2,item_0002,-0.0036,0.2533,0.8255,-0.0038,0.2512,0.8248,0.0021,0.0022,0,0
3,item_0003,0.0886,0.1423,0.8255,0.0886,0.1423,0.8255,0.0000,0.0000,0,0
4,item_0004,-0.1018,0.3153,0.8255,-0.1031,0.3159,0.8240,0.0015,0.0021,0,0
5,item_0005,0.0876,0.2715,0.8255,0.0876,0.2715,0.8255,0.0000,0.0000,0,0
6,item_0006,-0.0434,0.1975,0.8255,-0.0435,0.1975,0.8236,0.0001,0.0019,0,0
7,item_0007,0.0845,0.2132,0.8255,0.0845,0.2132,0.8255,0.0000,0.0000,0,0
8,item_0008,-0.0342,0.1218,0.8255,-0.0341,0.1203,0.8238,0.0015,0.0023,0,0
9,item_0009,-0.0873,0.1305,0.8255,-0.0848,0.1304,0.8256,0.0025,0.0025,0,0
10,item_0010,0.0181,0.1828,0.8255,0.0171,0.1851,0.8240,0.0025,0.0029,0,0
11,item_0011,0.0381,0.1211,0.8255,0.0381,0.1211,0.8255,0.0000,0.0000,0,0
12,item_0012,-0.0393,0.3092,0.8492,-0.0455,0.3183,0.8337,0.0110,0.0190,0,0
13,item_0013,0.0492,0.2120,0.8754,0.0430,0.2217,0.8689,0.0115,0.0132,0,0
14,item_0014,-0.1095,0.1798,0.8755,-0.1114,0.1742,0.8646,0.0059,0.0124,0,0
15,item_0015,-0.0551,0.2491,0.8760,-0.0078,-0.2052,0.8232,0.4567,0.4598,1,1
16,item_0016,-0.1095,0.3146,0.8760,-0.1063,0.3149,0.8661,0.0032,0.0104,0,0
