policy,n_objects,seed,episode_idx,cleared,n_delivered,n_steps,steps_to_clear,total_reward,sum_disturbance_m,sum_disturb_raw_m,max_disturb_m,mean_disturbance_per_attempt,n_invalid,n_empty_grab,n_physics_attempts,n_predicate_succ,n_failure_masked,n_ejected,wall_time_s
greedy_ggcnn,10,1000,0,0,2,30,-1,22.434561551616795,0.04271922419160575,0.18851467440491482,0.013631353031103865,0.0014239741397201917,0,0,30,2,28,0,20.45113706588745
random,10,1000,0,0,9,30,-1,44.22208807018329,0.058955964908331146,0.1368293798641985,0.020493573845735656,0.0019651988302777047,0,0,30,9,16,0,16.771344423294067
topdown,10,1000,0,0,6,30,-1,34.14799314065112,0.026003429674438968,0.08638839146285784,0.018398123122444186,0.0008667809891479656,0,0,30,6,56,0,17.346380472183228
heuristic_augmented,10,1000,0,0,7,30,-1,37.64806424088964,0.0459678795551647,0.12265217902424383,0.01813233843190312,0.0015322626518388233,0,0,30,7,40,0,18.12587070465088
rl,10,1000,0,0,7,30,-1,39.54053475492409,0.059732622537943016,0.16961449760877076,0.018574755684109632,0.0019910874179314337,0,0,30,7,42,0,19.476352214813232
greedy_ggcnn,10,1001,1,0,3,30,-1,25.361554825828687,0.009222587085659824,0.08454254441328306,0.008819957102338474,0.00030741956952199415,0,0,30,3,34,0,18.739713430404663
random,10,1001,1,0,7,30,-1,37.419795925622566,0.04010203718870767,0.14025059537014078,0.012618945276879205,0.0013367345729569222,0,0,30,7,50,0,16.99868655204773
topdown,10,1001,1,0,3,30,-1,24.187272421152347,0.05636378942382999,0.14585672007449127,0.037003736822723975,0.001878792980794333,0,0,30,3,58,0,18.257563591003418
heuristic_augmented,10,1001,1,0,3,30,-1,24.159419184161408,0.07029040791929934,0.14776581471877753,0.040963697337425824,0.002343013597309978,0,0,30,3,58,0,18.129058599472046
rl,10,1001,1,0,7,30,-1,37.43553935447866,0.0322303227606649,0.08619720709108493,0.0163543400839699,0.0010743440920221632,0,0,30,7,52,0,16.434823513031006
greedy_ggcnn,10,1002,2,0,2,30,-1,21.45367348921055,0.05316325539472793,0.142607147192765,0.027130831340898977,0.0017721085131575977,0,0,30,2,50,0,19.14040732383728
random,10,1002,2,0,8,30,-1,41.18897376617221,0.04551311691388783,0.11446473262698553,0.02150132280048645,0.0015171038971295945,0,0,30,8,46,0,16.513638019561768
topdown,10,1002,2,0,5,30,-1,30.730437023513108,0.0847814882434511,0.1774396621151236,0.02661063720984916,0.0028260496081150364,0,0,30,5,58,0,18.382325887680054
heuristic_augmented,10,1002,2,0,4,30,-1,27.36959914707229,0.11520042646385842,0.2307126427790983,0.028999142137586115,0.0038400142154619474,0,0,30,4,58,0,18.250495433807373
rl,10,1002,2,0,8,30,-1,40.77280964997308,0.013595175013448122,0.0661867712654386,0.014634911954913784,0.0004531725004482707,0,0,30,8,40,0,16.449004650115967
greedy_ggcnn,10,1003,3,0,3,30,-1,24.96041290265892,0.08979354867054043,0.23239615775775432,0.03231568253394653,0.0029931182890180143,0,0,30,3,38,0,19.266764879226685
random,10,1003,3,0,8,30,-1,40.66262630244367,0.06868684877814776,0.16545439835702241,0.018955142205890386,0.002289561625938259,0,0,30,8,42,0,16.82768750190735
topdown,10,1003,3,0,6,30,-1,34.13816990246891,0.030915048765541246,0.0966970005210611,0.015666362934168992,0.0010305016255180415,0,0,30,6,58,0,17.301879405975342
heuristic_augmented,10,1003,3,0,6,30,-1,34.156422883889086,0.02178855805545511,0.09799333835598413,0.013887213649625254,0.0007262852685151703,0,0,30,6,50,0,16.508282899856567
rl,10,1003,3,0,8,30,-1,40.74924539311107,0.025377303444453835,0.08401833638920451,0.015792742180108014,0.0008459101148151278,0,0,30,8,40,0,16.667968034744263
greedy_ggcnn,10,1004,4,0,3,30,-1,24.76100494841662,0.06949752579169462,0.16286314702740343,0.02799844790383096,0.002316584193056487,0,0,30,3,32,0,19.451127767562866
random,10,1004,4,0,9,30,-1,43.953368598415146,0.07331570079242529,0.16669302077199996,0.025232578260701886,0.002443856693080843,0,0,30,9,50,0,16.868879556655884
topdown,10,1004,4,0,7,30,-1,37.34337109092008,0.07831445453994652,0.1671778487073938,0.019969477153741057,0.0026104818179982173,0,0,30,7,32,0,17.66681718826294
