#{"t_start": 1780600309.3689928, "env_id": "None"}
r,l,t,n_delivered,n_invalid,n_empty_grab,n_physics_attempts,sum_grasp_quality,sum_disturb_m,sum_disturb_raw_m,max_disturb_m,n_ejected,n_predicate_succ,n_objects_initial
62.786835,60,176.833207,11,0,3,57,14.2,1.0665787433922924,2.005685912315885,0.06681691716157773,0,11,20
70.58554,60,176.833338,14,0,3,57,16.6,1.1972318418780727,2.0677227394477105,0.11990326768054609,1,14,20
62.692154,60,176.833371,10,0,0,60,17.600000000000005,0.8539202238205328,1.7924991724374641,0.10236149489885037,0,10,20
63.576748,60,176.833392,11,0,0,60,14.4,0.8916248439212489,1.7820429535390137,0.08365579177038525,1,11,20
70.48544,60,176.83341,13,0,2,58,19.6,0.7572819882186967,1.5102899047939577,0.0908346720586904,1,13,20
85.49121,60,176.833427,18,0,2,58,19.4,0.7444142489512594,1.2899325199583063,0.08819771500060987,1,18,20
65.8511,60,176.833443,11,0,1,59,18.6,0.6944462554389208,1.6111591301482548,0.04545706918203183,0,11,20
75.71981,60,176.833459,14,0,1,59,23.600000000000005,1.010098766001426,2.2172367698085966,0.07489900521827604,0,14,20
59.182716,60,176.833477,9,0,0,60,15.200000000000003,0.7486358121264797,1.6279764236162877,0.0660506631757722,0,9,20
52.799652,60,176.833503,7,0,0,60,18.0,1.340168250767946,2.6905369921080995,0.09127827629353055,0,7,20
64.91111,60,176.833517,11,0,0,60,15.200000000000001,0.9044492466028825,1.8497565136667729,0.038743377288203824,0,11,20
67.32637,60,176.833533,12,0,1,59,16.4,1.1468139014622813,2.3175106981512337,0.06843132959657236,0,12,20
69.32539,60,176.833548,12,0,0,60,20.6,0.9873003474152213,2.0464161015381594,0.04782642372484324,0,12,20
81.27542,60,176.833562,16,0,2,58,22.000000000000004,0.7023059685149786,1.5171969074601803,0.06481630956119919,0,16,20
69.7466,60,329.263735,13,0,2,58,16.8,0.7067100301796388,1.541877578949868,0.06459521032501003,1,13,20
71.73479,60,329.263849,13,0,0,60,18.6,0.9826042582160543,1.9715606248878872,0.058694051617996734,0,13,20
72.93293,60,329.263875,13,0,0,60,19.6,0.5135366481287936,1.3174247136401795,0.03565398537505616,0,13,20
85.860855,60,329.263894,17,0,0,60,23.6,0.6895807387574167,1.397078389678311,0.08588666383466848,0,17,20
77.92061,60,329.263911,15,0,0,60,17.4,0.7496984653366666,1.6129888472982599,0.11830273528468094,0,15,20
